Title,Manifest,Archive,Fond,Reference Number,Language,Creation Date,Place of Origin,Geographical Names,Surnames,Notes,Tags
Pozew do sądu ziemskiego chełmskiego dla starszych ziemskich chełmsko-bełskich względem niewypłaconych sum wyderkafowych,"Ojciec Mielewski przeor lubelskiego konwentu bonifratrów (Zakon Szpitalny Świętego Jana Bożego) i Bernard Kuberski prokurator generalny prowincji bonifratrów, Ludwik Burnet kantor szpitalny kościoła św. Michała Archanioła i prepozyt kościoła św. Ducha, mieszczanin Kazimierz Miczowski wdowiec po zmarłej Agnieszce Miczowskiej obywatelce Lublina  pozywają do sądu ziemskiego chełmskiego, na sesję za 2 tygodnie od daty położenia pozwu, Józefa Bławatnika, Moszka Juzwowicza, Zelka Irszowicza, Moszka Rabinowicza starszych ziemskich chełmskich i syndyka gminy chełmskiej oraz Marka Kaimowicza i Wulfa Chaimowicza Pietruszkę z Hrubieszowa, Judkę i Izraela z Lubomla [starszych ziemskich chełmsko-bełskich] tudzież dwóch mieszczan, braci Franciszka i Kazimierza Uszów i ich rodzeństwo, względem legowanych przez testatorkę i zapisanych na gminie chełmskiej sum wyderkafowych (testament sporządzony w Lublinie i oblatowany w księgach grodzkich lubelskich 5 IV 1742, podpisany 6 IX 1742, łącznie 1000 złp legatu) 300 złp dla konwentu bonifratrów lubelskich, 400 złp dla kościoła św. Ducha w Lublinie, 100 złp za odprawianie mszy świętych za duszę testatorki w w/w kościołach, od których sum powinny byli Żydzi wypłacać kościołom prowizje, lecz na sumy nałożony został areszt przez Uszów, uniemożliwiając tym samym spłatę zadłużenia.",The State Archive in Lublin,Chelm castle court files (Księgi grodzkie chełmskie),"APL, KGCH 139, s. 633v-634v",Latin,19.12.1742,Chełm,"Belz (Bełz), Chełm (Chelm), Hrubieszow (Hrubieszów), Liuboml","Burnet Ludwik, Izrael, Judka, Józef Bławatnik, Kuberski Bernard, Marek Kaimowicz, Miczowska Agnieszka, Miczowski Kazimierz, Mielewski, Moszek Rabinowicz, Moszko Juzwowicz, Usz Franciszek, Usz Kazimierz, Wulf Chaimowicz Pietruszka; Wulf Pietruszka, Zelko Irszowicz",Relację o złożeniu pozwu do ksiąg grodzkich chełmskich zdał 19 XII 1742 woźny Jan Niedźwiedziński.,"areszt, pozew, sąd ziemski, zadłużenie (długi), ziemstwo chełmsko-bełskie"
Manifestacja starszych ziemskich chełmsko-bełskich przeciwko Ludwikowi Podhorodyńskiemu i Ignacemu Sadowskiemu w sprawie wyroku sądu zjazdowego,"Starsi ziemscy chełmsko-bełscy i hrubieszowscy oraz lubomelscy Abram Judkowicz, Nochim Irszowicz, Wulf Pietruszka, Izrael Jankielowicz manifestują przeciwko Ludwikowi Podhorodyńskiemu pisarzowi ziemskiemu włodzimierskiemu jako sędziemu i Ignacemu Sadowskiemu staroście słonimskiemu dziedzicowi miasta Przewały w sprawie niekorzystnego i szkodliwego dla nich wyroku kondescencji (sądu zjazdowego) wyznaczonego dekretem trybunału skarbowego radomskiego w sprawie pomiędzy nimi a starostą słonimskim o jakoby nadmierne obciążenie Żydów z Przewał. Podhorodyński dopuścił świadków starosty, osoby nieznające dobrze sprawę, i odrzucił obronę starszych, że do Przewał należą okoliczni Żydzi, którzy zwyczajowo obchodzą swoje święta w tamtejszej synagodze i dokładają się do sumy 200 złp w ułożonej dla Przewał taryfie, w skutek czego doprowadził wbrew prawu do ukarania starszych ziemskich  na sumę 500 grzywien oraz kolejnych 1000 zgodnie z dwoma kondemnatami",The State Archive in Lublin,"Chelm castle court files (Księgi grodzkie chełmskie), Horodlo castle court files (Księgi grodzkie horodelskie)","APL KGH 47, s. 947-949, APL KGCH 139, s. 620r-621r",Latin,05.12.1742,Horodło,"Belz (Bełz), Chełm (Chelm), Hrubieszow (Hrubieszów), Liuboml, Przewały, Słonim","Abram Judkowicz, Izrael Jankielowicz, Nochim Irszowicz, Podhorodyński Ludwik, Sadowski Ignacy, Wulf Pietruszka",,"dekret (wyrok), dyspartyment (taryfa), manifestacja, pogłówne, trybunał skarbowy radomski, ziemstwo chełmsko-bełskie"
Pozew do trybunału skarbowego dla starszych ziemskich chełmskich i bełskich oraz Żydów z Sieniawy,"Jan Błoński skarbnik żytomierski, towarzysz chorągwi husarskiej Augusta Czartoryskiego wojewody ruskiego pozywa do trybunału skarbowego radomskiego Józefa Chaimowicza hrubieszowskiego, marszałka, Zelika Irszowicza chełmskiego, Hersza Abramowicza lubomelskiego, Helo Haskowicza bełskiego, Nochima Szmujłowicza tarnogórskiego i innych starszych ziemskich ziemi chełmskiej i województwa bełskiego oraz Haima Szmula, Wolfa Safira i innych starszych i Żydów sieniawskich w sprawie wyznaczenia w swoim dyspartymencie za rok 1750 zawyżonej kwoty na Żydów sieniawskich (o 210 złp) wbrew ugodzie zawartej w Konstantynowie w dn. 5 VIII 1748 r. i aprobowanej przez podskarbiego koronnego, narażenie deputata na koszty i straty etc.",The State Archive in Lublin,Chelm castle court files (Księgi grodzkie chełmskie),"APL, KGCH 151, s. 211v-212v",Latin,27.03.1753,Radom,"Belz (Bełz), Chełm (Chelm), Hrubieszow (Hrubieszów), Liuboml, Radom, Sieniawa, Tarnogóra","Błoński Jan, Czartoryski August Aleksander, Haim Szmul, Helo Haskowicz, Hersz Abramowicz, Hersz Abramowicz, Józef Chaimowicz, Nochim Szmujłowicz, Wolf Safir, Zelik Irszowicz",,"pozew, trybunał skarbowy radomski, ziemstwo chełmsko-bełskie"
Umowa między ziemstwem chełmsko-bełskim a kahałem w Tyszowcach w sprawie pogłównego i sum wyderkafowych,"Ajzyk Józefowicz Żyd bełski, marszałek ziemstwa chełmsko-bełskiego i Nochim Szmujłowicz z Tyszowców, Wolf Mendlowicz z Narola starsi ziemscy bełscy oraz  Zelik Erszkowicz z Chełma, Herszek Abramowicz z Lubomla, Marek Doktorowicz z Hrubieszowa, starsi ziemscy chełmscy zawierają umowę ze starszymi kahału w Tyszowcach Berkiem Ickowiczem, Lejzorem Szmujłowiczem, na mocy której starsi ziemscy chełmsko-bełscy oświadczyli, że nie będą już za starszych tyszowieckich wypłacać rocznej prowizji od głównej sumy wyderkafowej (którą wypłacać powinien kahał w Tyszowcach), a w zamian starsi ziemscy uwalniają kahał w Tyszowcach od obowiązku odprowadzania podatku pogłównego żydowskiego i realizacji zaległych asygnacji skarbowych. Ponadto kahał tyszowiecki zobowiązany został spłacić zaciągniętą przez ziemstwo sumę wyderkafową 500 złp brygidkom sokalskim i prowizję roczną 100 złp [od wyderkafu zabezpieczonego na dobrach Dzierążnia] p. [Annie] Węgleńskiej miecznikowej buskiej, a także zaspokoić roszczenia starosty wieluńskiego [Wojciech Męciński]. Umowę zawarto ze względu na 1) konieczność zapłaty sum dłużnych wierzycielom opiewających na 6.000 złp (dla brygidek z Sokala 540 złp, [Bogumiłowi] Pawłowskiemu towarzyszowi chorągwi pancernej wojewody bełskiego [Antoni Michał Potocki] w związku z asygnacją podskarbiego wielkiego koronnego [Karol Odrowąż Sedlnicki] i dekretem trybunału radomskiego  1800 złp, Świdzińskiemu towarzyszowi buławy polnej koronnej [Jan Klemens Branicki] 2377 złp, p. Rączce 300 złp, p. Janiszewskiemu 270 złp, p. Łepkowskiemu 90 złp, p. [Franciszkowi Salezemu] Potockiemu krajczemu koronnemu prowizji za 2 lata od sumy 3.000 złp-623 złp), 2) ulokowania tej łącznej kwoty na kahale w Tyszowcach [pożyczonej od kościoła w Rachaniach przez starszych ziemskich celem spłaty zobowiązań] w postaci wyderkafu, zapisanego przez Rostkowskich starostów tyszowieckich ""na różaniec"" kościołowi rachańskiemu, z roczną prowizją 7% płatną przez kahał w Tyszowcach [a faktycznie płaconą przez ziemstwo].",The State Archive in Lublin,Grabowiec castle court files (Księgi grodzkie grabowieckie),"APL GRRMO 233, s. 287rv",Polish,28.07.1751,Tyszowce,"Belz (Bełz), Busk, Chełm (Chelm), Hrubieszow (Hrubieszów), Liuboml, Narol, Rachanie, Radom, Sokal, Tyszowce, Wieluń","Ajzyk Józefowicz, Berek Ickowicz, Branicki Jan Klemens, Herszek Abramowicz, Janiszewski, Lejzor Szmujłowicz, Marek Doktorowicz, Męciński Wojciech, Nochim Szmujłowicz, Pawłowski Bogumił, Potocki Antoni Michał, Potocki Franciszek Salezy, Rostkowski Adam, Rączka, Sedlnicki Karol Odrowąż, Wolf Mendlowicz, Węglińska Anna, Zelik Erszkowicz, Łepkowski, Świdziński",,"asekuracja, pogłówne, trybunał skarbowy radomski, ugoda, wyderkaf, zadłużenie (długi), ziemstwo chełmsko-bełskie"
Manifestacja deputata wojskowego przeciw starszym ziemskim bełskim i chełmskim,"Walerian Silickin kwatermistrz regimentu gwardii królewskiej manifestuje w swoim oraz Franciszka Zygmunta Gałeckiego przeciw starszym ziemskim województwa bełskiego i ziemi chełmskiej Felko Oszorowiczowi, Irszowi Samsonowiczowi, Moszkowi Pinkaszewiczowi, Fajbusiowi Markowiczowi w sprawie niewypłacenia asygnacji z 15 VII 1676 r. dla Kozaków zaporoskich ze skarbu koronnego na kwotę 7111 złp z pierwszej raty pogłównego żydowskiego na jarmarku jarosławskim, także pomimo listów królewskich z 20 VIII 1676 do ur. administratorów i sędziego jarosławskiego, a także do starszych bełskich i chełmskich.",Central State Historical Archives of Ukraine in Lviv,Belz castle court files (Księgi grodzkie bełskie),"CGIA Lwów, Fond 1, op. 1, sp. 267, s. 2284-2285",Latin,02.11.1676,Bełz,"Belz (Bełz), Chełm (Chelm), Jarosław","Fajbuś Markowicz, Felko Oszorowicz, Gałecki Franciszek Zygmunt, Irsz Samsonowicz, Moszko Pinkaszewicz, Silickin Walerian",,"asygnacja, manifestacja, pogłówne, ziemstwo chełmsko-bełskie"
Manifestacja starszych lubomelskich przeciwko starszym ziemskim chełmskim,"Józef Izraelowicz rabin [lubomelski], Irsz Habelowicz starszy lubomelski manifestują przeciwko Heszelowi Moszkowi Juzwowiczowi, Zawelowi Szymonowiczowi, Moszkowi Rabinowiczowi wiernikowi [ziemskiemu], starszym ziemskim chełmskim, że ci mimo swojego ustnego zobowiązania odmówili im pomocy i nie przybyli wraz nimi do trybunału skarbowego radomskiego w toczonych w tym sądzie sprawach.",The State Archive in Lublin,Chelm castle court files (Księgi grodzkie chełmskie),"APL, KGCH 146, s. 252v-253r, APL< KGCH 51, k. 737",Latin,13.05.1749,Chełm,"Chełm (Chelm), Liuboml, Radom","Heszel Moszek Juzwowicz, Irsz Habelowicz, Józef Izraelowicz, Moszko Rabinowicz, Zawel Szymonowicz",,"manifestacja, trybunał skarbowy radomski, ziemstwo chełmsko-bełskie"
Pozew do trybunału skarbowego radomskiego dla starszych ziemskich bełskich i chełmskich,"Andrzej łowczy trembowelski i Stanisław łowczy żydaczowski Dzierżkowie, dziedzice Uhnowa oraz Lejba Koplowicz i Abramek Marianczyn starsi gminy uhnowskiej pozywają do trybunału skarbowego radomskiego Irsza Abrahamowicza marszałka, Josia rabina i Erszka z Lubomla, Erszela Majorowicza z Chełma, Nuhima Pietruszkę z Hrubieszowa, Wola rabina witkowskiego, Elo Haszkielowicza  i Ejzyka Józefowicza z Bełza, Nuhima Erszowicza z Tyszowców, Wolo Mendlowicza z Narola, starszych ziemskich województwa bełskiego i ziemi chełmskiej w sprawie nadmiernego obciążenia pogłównym w swoich dyspartymentach, bez zwracania uwagi na klęski, które dotknęły Żydów uhnowskich (dwa pożary).",Central State Historical Archives of Ukraine in Lviv,"Belz castle court files (Księgi grodzkie bełskie), Chelm castle court files (Księgi grodzkie chełmskie)","CGIA Lwów, Fond 1, op. 1, sp. 342, s. 792-794, APL, KGCH 146, s. 259v-260v, APL, KGH 51, k. 468",Latin,14.04.1749,Radom,"Belz (Bełz), Chełm (Chelm), Hrubieszow (Hrubieszów), Liuboml, Narol, Radom, Tyszowce, Uhnów","Abramek Marianczyn, Dzierżek Andrzej, Dzierżek Stanisław, Ejzyk Józefowicz, Elo Haszkielowicz, Erszel Majorowicz, Erszko, Irsz Abrahamowicz, Joś, Lejba Koplowicz, Moszko, Nuhim Erszowicz, Nuhim Pietruszka, Wolo Mendlowicz",,"pozew, pożar (konflagrata), trybunał skarbowy radomski, ziemstwo chełmsko-bełskie"
Settlement between the communities of the Zamość Entailed Estate and the Chełm-Bełz region,"The Chełm-Bełz and Zamość Entailed Estate elders agreed to settle disputable issues in the arbitration court, to which they appointed their arbitrators. The Chełm-Bełz elders appointed Szmojło, the rabbi of Hrubieszów, and Fiszel, the scribe of the Crown Jews. The Zamość Entailed Estate Jews appointed Szmul, the rabbi of Szczebrzeszyn, and Juda Hirszowicz, an Opatów Jew. The superarbitrator was Irsz Bolochowski from Rzeszów. If the representatives of one of the parties did not appear on the court date, then Fiszel could unilaterally order them to pay the poll tax by the tariffs previously arranged by the Crown elders. There would then be no possibility to refuse or change the assessment, to which the Crown treasurer agreed. The parties agreed on the date of the meeting in Żółkiewka on 15 May 1721. No more than four representatives of each party could come to the arbitration court sitting.",The State Archive in Lublin,Horodlo castle court files (Księgi grodzkie horodelskie),"APL, Horodelskie RMO 43, s. 1046-1048",Polish,,Włodzimierz Wołyński,"Chełm (Chelm), Cracow (Kraków), Horodło, Hrubieszow (Hrubieszów), Lublin, Opatow, Rzeszów, Szczebrzeszyn, Volodymyr-Volynsky (Włodzimierz Wołyński), Zamosc","Aaron Szmul, Dawid Doktorowicz, Fiszel Lewkowicz, Heszel Rabinowicz, Hirsz Jakubowicz Bolechowski, Irsz Zelikowicz, Irz Piotruszka, Izral Mośko, Juda Hirszowicz, Lejba Aronowicz, Pinkas Zelik, Szmojło, Szmul Szmerlewicz",Tyt.: Synagogarum Ordinationis Zamoyscensis et Chełmensis compromissi oblata. Eskcerpt z akt trybunału koronnego w Lublinie z 12 VII 1721 oblatowany przez Jana Nowowiejskiego przedłożył w księgach grodzkich horodelskich 10 X 1721 Lejba Aronowicz.,"ugoda, ziemstwo chełmsko-bełskie, ziemstwo ordynacji zamojskiej"
Pozew do trybunału koronnego lubelskiego dla starszych ziemskich bełskich i chełmskich,"Walenty Molderf pozywa Berka marszałka Żydów województwa bełskiego i ziemi chełmskiej, Icka syna Wolfa z Tarnogrodu, Jakuba syna Jawny z Lubomla, Irsza Samsonowicza, Judkę Ickowicza, Majora syna Józefa, Judkę syna Moszka, Józefa z Hrubieszowa, Irzko Moszkowicza, Icka Moszkowicza, Icka Józwowicza, Marko Ickowicza z Tyszowców, Irza Manachnowicza ze Szczebrzeszyna starszych w sprawie niespłacenia długu 4000 złp wraz z prowizją.",Central State Historical Archives of Ukraine in Lviv,Belz castle court files (Księgi grodzkie bełskie),"CGIA Lwów, Fond 1, op. 1, sp. 285, s. 1004-1006",Latin,11.08.1692,Lublin,"Belz (Bełz), Chełm (Chelm), Hrubieszow (Hrubieszów), Lublin, Szczebrzeszyn, Tarnogród, Tyszowce","Berko, Icko Józwowicz, Icko Moszkowicz, Icko syn Wolfa, Irsz Samsonowicz, Irz Manachinowicz, Irzko Moszkowicz, Jakub syn Jawna, Judka Ickowicz, Judka syn Moszka, Józef, Major syn Józefa, Marko Ichowicz, Molderf Walenty",,"pozew, trybunał koronny, zadłużenie (długi), ziemstwo chełmsko-bełskie"
Protestacja przeciw starszym ziemskim chełmskim i bełskim,"Protestacja Aleksandra Noniatyckiego sługi Samuela Lipskiego stolnika kijowskiego przeciw Fajbiszowi z Hrubieszowa, Moszkowi i Irszowi z Turobina, Lejbie z Opatowa, Jakubowi i Fajbiszowi z Lubomla, Zelikowi z Chełma, Karpelowi z Tarnogrodu, a także całej synagodze województwa bełskiego i ziemi chełmskiej w sprawie nieoddania długu. Kiedy Lipski wysłał ur. Zygmunta Brześciańskiego na sejmik żydowski w Turobinie, aby odebrał należną sumę, Żydzi nie tylko odmówili zapłaty, ale znieważyli wysłańca, a także samego Lipskiego.",Central State Historical Archives of Ukraine in Lviv,Belz castle court files (Księgi grodzkie bełskie),"CGIA Lwów, Fond 1, op. 1, sp. 270, s. 393",Latin,14.07.1678,Bełz,"Belz (Bełz), Chełm (Chelm), Hrubieszow (Hrubieszów), Liuboml, Opatow, Tarnogród, Turobin","Brześciański Zygmunt, Fajbisz, Irsz, Jakub, Karpel, Lejba, Lipski Samuel, Moszko, Noniatycki Aleksander, Zelik",,"manifestacja, zadłużenie (długi), ziemstwo chełmsko-bełskie"
Resolution of the elders of the Chełm land and the Bełz voivodeship establishing the office of scribes and explaining the procedure for receiving tax deputies,"The elders of Chełm-Bełz, gathered at the regional council in Waręż, appointed the land scribes: Irsz Samsonowicz, the general scribe of the Crown Jews and Gerszon Doktorowicz, the scribe of Bełz, the responsible for issuing tax allocation to deputies for individual kahals of the land, based on an allocation bearing the countersignature of the land rabbi. The scribes were obliged to keep tax books registering contributions for individual kahals, as well as to settle financial accounts and determine the size of tariff for each community, taking into account the need to repay loans drawn by the lands. The land elders declared that the land marshal had no right to interrupt the scribes or demand money from them, and they themselves promised to take their dispositions into account. The elders stated that the scribes are not subject to any poviat contributions, and the assignees and the noble creditors who have claims to lands should not enforce them on scribes. In the event of the non-fulfillment of tax assignments by the communities, the aggrieved military deputies should demand from the scribes the issuance of new, substitute assignments only when they have proved that the previous amounts had not been paid to them. It was agreed that the salary of scribes and the costs incurred would be included in the account of tax receivables of the land submitted to the Crown Treasury, which was approached for approval of the resolution.","Central State Historical Archives of Ukraine in Lviv, The State Archive in Lublin","Belz castle court files (Księgi grodzkie bełskie), Grabowiec castle court files (Księgi grodzkie grabowieckie)","APL, Grabowieckie RMO 100, s. 1670-1673, CGIA Lwów, Fond 1, op. 1, sp. 288, s. 95-98",Polish,,Waręż,"Belz (Bełz), Grabowiec, Szczebrzeszyn, Tarnogród, Turobin, Variazh (Ukraine), Zamosc","Abram Chaimowicz, Abram Markowicz, Berko Majorowicz, Bieniasz Lewkowic, Gerszon Doktorowicz, Hyrzko Dawidowicz, Hyrzko Samsonowicz, Icko Wolwowicz, Irsz Samsonowicz, Lewko Ickowicz, Major Jozwowicz, Marko Abramowicz","A: APL, Grabowieckie RMO 100, s. 1670-1673. Tyt.: Bełzen[sium], Chełmen[sium] Judaeorum scripti oblata. Oblatował w aktach grodzkich grabowieckich 29 XI 1694 Icko Lejzorowicz arendarz grabowiecki; B: CDIAL, Fond 1, op. 1, sp. 288, s. 95-98. Tyt.: Ex parte infidelis
Gierszon scripti oblata. W księgach grodzkich bełskich oblatowano 24 I 1695 na życzenie pisarza generalnego Żydów ziemi chełmskiej i województwa bełskiego Gierszona Doktorowicza.","sejmik żydowski, ziemstwo chełmsko-bełskie"
